source,word,action
triage-pass-1,coxed,ditch
triage-pass-1,crazed,keep
triage-pass-1,crazily,keep
triage-pass-1,daffy,keep
triage-pass-1,diazo,ditch
triage-pass-1,dicky,ditch
triage-pass-1,divvy,keep
triage-pass-1,dozer,keep
triage-pass-1,dozes,keep
triage-pass-1,ducky,keep
triage-pass-1,dybbuk,ditch
triage-pass-1,dyke,ditch
triage-pass-1,embezzlement,keep
triage-pass-1,equalizer,keep
triage-pass-1,equalizes,keep
triage-pass-1,exarch,ditch
triage-pass-1,exhume,keep
triage-pass-1,expiry,keep
triage-pass-1,faxes,keep
triage-pass-1,fixedly,keep
triage-pass-1,fixer,keep
triage-pass-1,flaky,keep
triage-pass-1,flapjacks,keep
triage-pass-1,fluky,keep
triage-pass-1,flyback,ditch
triage-pass-1,flyway,ditch
triage-pass-1,foxes,keep
triage-pass-1,frieze,keep
triage-pass-1,gauze,keep
triage-pass-1,gawk,keep
triage-pass-1,gazebo,keep
triage-pass-1,gazer,keep
triage-pass-1,gazes,keep
triage-pass-1,gizmos,keep
triage-pass-1,glaze,keep
triage-pass-1,glitz,keep
triage-pass-1,gonzo,keep
triage-pass-1,graze,keep
triage-pass-1,grosz,ditch
triage-pass-1,hammy,keep
triage-pass-1,hanky,keep
triage-pass-1,haphazard,keep
triage-pass-1,hatbox,keep
triage-pass-1,hawkshaw,ditch
triage-pass-1,haycock,ditch
triage-pass-1,hazels,keep
triage-pass-1,helix,keep
triage-pass-1,hexes,keep
triage-pass-1,hickey,keep
triage-pass-1,hijabs,keep
triage-pass-1,hijacker,keep
triage-pass-1,hijinks,keep
triage-pass-1,hippy,keep
triage-pass-1,hokey,keep
triage-pass-1,honky,keep
triage-pass-1,hooky,keep
triage-pass-1,hotbox,keep
triage-pass-1,howdy,keep
triage-pass-1,hubby,keep
triage-pass-1,humph,keep
triage-pass-1,humpy,ditch
triage-pass-1,hunky,keep
triage-pass-1,husky,keep
triage-pass-1,hybridize,keep
triage-pass-1,hydrolyzed,ditch
triage-pass-1,hypo,ditch
triage-pass-1,infix,ditch
triage-pass-1,intermezzo,keep
triage-pass-1,izard,ditch
triage-pass-1,jabbed,keep
triage-pass-1,jackhammer,keep
triage-pass-1,jacking,keep
triage-pass-1,jags,keep
triage-pass-1,jalopy,keep
triage-pass-1,jammed,keep
triage-pass-1,jerked,keep
triage-pass-1,jetty,keep
triage-pass-1,jiggly,keep
triage-pass-1,jigs,keep
triage-pass-1,jives,keep
